id, iata, icao, model
1,100,F100,Fokker 100
2,141,B461,BAe 146-100 Pax
3,142,B462,BAe 146-200 Pax
4,143,B463,BAe 146-300 Pax
5,146,NULL,BAe 146 all pax models
6,14F,NULL,BAe 146 Freighter (-100/200/300QT & QC)
7,14X,B461,BAe 146 Freighter (-100QT & QC)
8,14Y,B462,BAe 146 Freighter (-200QT & QC)
9,14Z,B463,BAe 146 Freighter (-200QT & QC)
10,310,A310,Airbus A310 all pax models
11,312,A310,Airbus A310-200 pax
12,313,A310,Airbus A310-300 pax
13,318,A318,Airbus A318
14,319,A319,Airbus A319
15,31F,A310,Airbus A310 Freighter
16,31X,A310,Airbus A310-200 Freighter
17,31Y,A310,Airbus A310-300 Freighter
18,320,A320,Airbus A320-100/200
19,321,A321,Airbus A321-100/200
20,330,A330,Airbus A330 all models
21,332,A332,Airbus A330-200
22,333,A333,Airbus A330-300
23,33F,A332,Airbus A330 Freighter
24,33X,A332,Airbus A330-200 Freighter
25,340,A340,Airbus A340 all models
26,342,A342,Airbus A340-200
27,343,A343,Airbus A340-300
28,345,A345,Airbus A340-500
29,346,A346,Airbus A340-600
30,351,A35K,Airbus A350-1000
31,359,A359,Airbus A350-900
32,380,A388,Airbus A380 pax
33,38F,NULL,Airbus A380 Freighter
34,703,B703,Boeing 707-300 pax
35,70F,B703,Boeing 707 Freighter
36,70M,B703,Boeing 707 Combi
37,717,B712,Boeing 717
38,721,B721,Boeing 727-100 pax
39,722,B722,Boeing 727-200 pax
40,72B,B721,Boeing 727-100 Mixed Configuration
41,72C,B722,Boeing 727-200 Mixed Configuration
42,72S,B722,Boeing 727-200 Advanced pax
43,72W,B721,Boeing 727-200 (winglets) pax
44,72X,B721,Boeing 727-100 Freighter
45,72Y,B722,Boeing 727-200 Freighter
46,731,B731,Boeing 737-100 pax
47,732,B732,Boeing 737-200 pax
48,733,B733,Boeing 737-300 pax
49,734,B734,Boeing 737-400 pax
50,735,B735,Boeing 737-500 pax
51,736,B736,Boeing 737-600 pax
52,738,B738,Boeing 737-800 pax
53,739,B739,Boeing 737-900 pax
54,73C,B733,Boeing 737-300 (winglets) pax
55,73E,B735,Boeing 737-500 (winglets)pax
56,73G,B737,Boeing 737-700 pax
57,73H,B738,Boeing 737-800 (winglets) pax
58,73J,B739,Boeing 737-900 (winglets) pax
59,73L,B732,Boeing 737-200 Combi
60,73P,B734,Boeing 737-400 Freighter
61,73Q,B734,Boeing 737-400 Combi
62,73R,B737,Boeing 737-700 Combi
63,73W,B737,Boeing 737-700 (winglets) pax
64,73X,B732,Boeing 737-200 Freighter
65,73Y,B733,Boeing 737-300 Freighter
66,741,B741,Boeing 747-100 pax
67,742,B742,Boeing 747-200 pax
68,743,B743,Boeing 747-300 pax
69,744,B744,Boeing 747-400 pax
70,748,B748,Boeing 747-8 pax
71,74B,B744,Boeing 747-400 Swingtail Freighter
72,74C,B742,Boeing 747-200 Combi
73,74D,B743,Boeing 747-300 Combi
74,74E,B744,Boeing 747-400 Combi
75,74J,B744,Boeing 747-400 (Domestic) pax
76,74L,N74S,Boeing 747SP
77,74R,B74R,Boeing 747SR pax
78,74T,B741,Boeing 747-100 Freighter
79,74U,B743,Boeing 747-300 / 747-200 SUD Freighter
80,74V,B74R,Boeing 747SR Freighter
81,74X,B742,Boeing 747-200 Freighter
82,74Y,B744,Boeing 747-400 Freighter
83,752,B752,Boeing 757-200 pax
84,753,B753,Boeing 757-300 pax
85,75F,B752,Boeing 757 Freighter
86,75M,B752,Boeing 757 Mixed Configuration
87,75W,B752,Boeing 757-200 (winglets) pax
88,762,B762,Boeing 767-200 pax
89,763,B763,Boeing 767-300 pax
90,764,B764,Boeing 767-400 pax
91,76W,B763,Boeing 767-300 (winglets) pax
92,76X,B762,Boeing 767-200 Freighter
93,76Y,B763,Boeing 767-300 Freighter
94,772,B772,Boeing 777-200 pax
95,773,B773,Boeing 777-300 pax
96,77L,B772,Boeing 777-200LR pax
97,77W,B77W,Boeing 777-300ER pax
98,77X,B77L,Boeing 777-200 Freighter
99,783,B783,Boeing 787-3 pax
100,788,B788,Boeing 787-8 pax
101,789,B789,Boeing 787-9 pax
102,7M7,B37M,Boeing 737 MAX 7 pax
103,7M8,B38M,Boeing 737 MAX 8 pax
104,7M9,B39M,Boeing 737 MAX 9 pax
105,A22,AN22,Antonov AN-22
106,A26,AN26,Antonov AN-26
107,A28,AN28,Antonov AN-28 / PZL Miele M-28 Skytruck
108,A30,AN30,Antonov AN-30
109,A32,AN32,Antonov AN-32
110,A38,AN38,Antonov AN-38
111,A40,A140,Antonov AN-140
112,A4F,A124,Antonov AN-124 Ruslan
113,A5F,A225,Antonov AN-225
114,A81,A148,Antonov AN-148-100
115,AB3,A30B,Airbus Industrie A300 pax
116,AB4,A30B,Airbus Industrie A300B2/B4/C4 pax
117,AB6,A306,Airbus Industrie A300-600 pax
118,ABB,A3ST,Airbus Industrie A300-600ST Beluga Freighter
119,ABF,A30B,Airbus Industrie A300 Freighter
120,ABX,A30B,Airbus Industrie A300C4/F4 Freighter
121,ABY,A306,Airbus Industrie A600-600 Freighter
122,ACP,AC68,Gulfstream/Rockwell (Aero) Commander
123,ACT,AC90,Gulfstream/Rockwell (Aero) Turbo Commander
124,AGH,A109,Agusta A109
125,ALM,LOAD,Ayres LM-200 Loadmaster
126,AN4,AN24,Antonov AN-24
127,AN7,AN72,Antonov AN-72 / AN-74
128,ANF,AN12,Antonov AN-12
129,AR1,RJ1H,Avro RJ100 Avroliner
130,AR7,RJ70,Avro RJ70 Avroliner
131,AR8,RJ85,Avro RJ85 Avroliner
132,AT4,AT43,Aerospatiale/Alenia ATR 42-300 / 320
133,AT5,AT45,Aerospatiale/Alenia ATR 42-500
134,AT7,AT72,Aerospatiale/Alenia ATR 72
135,ATD,AT44,Aerospatiale/Alenia ATR 42-400
136,ATF,AT72,Aerospatiale/Alenia ATR 72 Freighter
137,ATP,ATP,British Aerospace ATP
138,AX1,RX1H,Avro RJX100
139,AX8,RX85,Avro RJX85
140,B11,BA11,British Aerospace (BAC) One Eleven / RomBAC One Eleven
141,B12,BA11,British Aerospace (BAC) One Eleven 200
142,B13,BA11,British Aerospace (BAC) One Eleven 300
143,B14,BA11,British Aerospace (BAC) One Eleven 400/475
144,B15,BA11,British Aerospace (BAC) One Eleven 500 / RomBAC One Eleven
145,B72,B720,Boeing 720B pax
146,BE1,B190,Beechcraft 1900/1900C/1900D
147,BEH,B190,Beechcraft 1900D
148,BES,B190,Beechcfrat 1900/1900C
149,BNI,BN2P,Pilatus Britten-Norman BN-2A/B Islander
150,BNT,TRIS,Pilatus Britten-Norman BN-2A Mk III Trislander
151,CCJ,CL60,Canadair Challenger
152,CCX,GLEX,Canadair Global Express
153,CD2,NOMA,Government Aircraft Factories N22B / N24A Nomad
154,CL4,CL44,Canadair CL-44
155,CN7,C750,Cessna 750 Citation X
156,CR1,CRJ1,Canadair Regional Jet 100
157,CR2,CRJ2,Canadair Regional Jet 200
158,CR7,CRJ7,Canadair Regional Jet 700
159,CR9,CRJ9,Canadair Regional Jet 900
160,CRA,CRJ9,Canadair Regional Jet 705
161,CRK,CRJX,Canadair Regional Jet 1000
