id,iata,icao,name
1,W9,WUK,Wizz Air UK
2,ZY,ADE,Ada Air
3,JP,ADR,Adria Airways
4,NULL,ADV,Advance Air Charters
5,EI,EIN,Aer Lingus Teoranta
6,QT,ATT,Aer Turas Teoranta
7,NULL,AAD,Mann Air Ltd (t/a Ambassador)
8,N6,ACQ,Aero Continente S.A.
9,ML,AEK,Aero Costa Rica
10,NULL,FIT,"Aero Fiesta Mexicana, S.A. De C.V."
11,GV,ARF,Aero Flight
12,YP,AEF,Aero Lloyd Flugreisen Gmbh Und Co. Luftverkehrs  Kg. Frankfurt
13,W4,BES,Aero Services Executive
14,NULL,AMP,Aero Transporte S.A. (Atsa)
15,Z9,RZL,Aero Zambia Limited
16,NULL,ACU,Aerocancun
17,NULL,CDA,Aerocardal
18,NULL,ADN,"Aerodienst Gmbh, Nurnburg"
19,NULL,DNC,Aerodinamics Malaga
20,NULL,ROL,Aeroel Airways Ltd
21,SU,AFL,Aeroflot Russian Airlines
22,NULL,PCP,Aerolinea Principal
23,AR,ARG,Aerolineas Argentinas
24,3L,DLU,Aerolineas Del Sur
25,N2,LNT,Aerolineas Internacionales S.A. De C.V.
26,NULL,LTN,"Aerolineas Latinas, C.A."
27,NULL,NSO,Aerolineas Sosa
28,EX,SDO,"Aerolineas Santo Domingo, S.A."
29,QO,MPX,"Aeromexpress, S.A. De C.V."
30,6C,KRE,Aerosucre S.A.
31,VV,AEW,Aerosvit Airlines
32,NULL,ATD,"Aerotours Dominicana, C. Por A."
33,MY,MAA,Mas de Carga - Mas Air Cargo
34,QA,CBE,Aerocaribe
35,NULL,DAP,Aerovias Dap
36,NULL,GRR,Agroar - Trabalhos Aereos Lda.
37,DP,AMM,Air 2000 Ltd
38,H7,LFA,Air Alfa Havayollari Ve Tic. A.S.
39,AH,DAH,Air Algerie
40,NULL,AMY,"Air Ambar, S.A."
41,KI,AAG,Air Atlantique
42,OU,OUL,Air Atonabee Limited
43,NULL,AAI,"Air Aurora, Inc. (Sugar Grove, Il)"
44,UU,REU,Air Austral
45,YH,BFF,Air Baffin
46,BT,BTI,Air Baltic Corporation Sia
47,NULL,BAN,Air Ban Ltd
48,BX,ABL,"Air Busan Co., Ltd"
49,AB,BER,"Air Berlin, Inc."
50,NULL,BRI,Air Bor
51,KF,KFB,"Air Botnia Oy Ab, Finland"
52,BP,BOT,"Air Botswana (Pty.), Ltd."
53,NULL,BRL,Air Brasd'Or
54,NULL,BRF,Air Bravo
55,NULL,AZX,Air Bristol Ltd
56,NULL,ABT,"Air Brousse, Inc"
57,NULL,BUD,Air Budapest Club Ltd
58,2J,VBW,Air Burkina
59,NULL,BSS,"Air Business, S.L."
60,NULL,BUA,Air Busol
61,TY,ACM,Air Caledonia Inc.
62,TY,TPC,Air Caledonie
63,SB,ACI,Air Caledonie International
64,NULL,CAN,"Air Canarias, S. Coop Ltda"
65,NULL,ACP,Air Cape
66,NULL,ACL,Air Capitol
67,NULL,ISB,Air Caraibes
68,NULL,WCI,Air Care (Sw) Ltd
69,NULL,MVM,"Air Cargo America, Inc. (Miami, Fl)"
70,NULL,CGB,Air Cargo Belize Limited
71,NULL,SNC,"Air Cargo Carriers, Inc. (Milwaukee, Wi)"
72,NULL,RCI,Air Cassai Lda.
73,NULL,ACS,"Air Cess (Liberia), Inc."
74,NULL,ECR,Air Charter Express A/S
75,NULL,LIO,Air Charter Ltd. (Leiguflug Isleifs Ottesen)
76,NULL,CHR,Air Charter Services (Acs)
77,NULL,IPL,"Air Charter Services (Pty) Ltd, South Africa"
78,NULL,XAC,"Air Charter World (Corrales, Nm)"
79,NULL,ACX,"Air Charters, Inc."
80,CA,CCA,Air China
81,NULL,ACO,Air Columbia
82,NULL,CNB,Air Columbus Sa
83,NULL,CPY,Air Company
84,NULL,JID,"Air Condal, S.A."
85,NULL,RCS,Air Consul S.A.
86,NULL,NAR,"Air Continental, Inc. (Elyria, Oh)"
87,NULL,ARK,Air Corse
88,NULL,OPL,Air Cote D'Opale
89,YN,CRQ,Air Creebec
90,NULL,DMT,Air Dan
91,NULL,AFS,Air Data Ltd
92,EN,DLA,Air Dolomiti
93,NULL,ADT,Air Dorval Ltee.
94,NULL,AEG,Air East
95,K5,JND,Air East Africa Ltd
96,NULL,AYY,Air Alliance Express
97,RQ,RQX,Air Engiadina
98,NULL,AEN,Air Entreprise
99,UX,AEA,"Air Europa Lineas Aereas, S.A."
100,PE,AEL,Air Europe Spa
101,NULL,IVS,Air Evasion
102,NULL,EVE,"Air Evex Gmbh, Dusseldorf"
103,NULL,EXG,"Air Exchange, Inc. (Dallas, Tx)"
104,NULL,BXL,Air Exel Belgique
105,NULL,AOL,Air Exel Executive
106,XT,AXL,Air Exel Netherlands B.V.
107,NULL,AED,Air Experience Flight
108,NULL,AXP,Air Express A.S.
109,NULL,GOT,Air Express In Norrkoping Ab
110,NULL,AFH,Air Fecteau Ltee.
111,NULL,RFO,Air Foyal
112,NULL,AFY,Air Foyle (Executive) Ltd
113,NULL,UPD,Air Foyle Charter Airways Ltd
114,NULL,UPB,Air Foyle Charters Ltd
115,AF,AFR,Air France
116,NULL,AFX,"Air Freight Express, Inc. (Minneapolis, Mn)"
117,NULL,ABN,Air Fret Senegal
118,NULL,AGS,Air Gambia
119,NULL,GEF,Air Gefco
120,DA,GEO,Air Georgia
121,NULL,GGN,Air Georgian
122,NULL,GHN,Air Ghana
123,NULL,AGV,Air Glaciers Sa
124,G8,CGW,Air Great Wall
125,NULL,AGJ,Air Greece Sa
126,NULL,AGM,"Air Guam (Tamuning, Gu)"
127,GI,GIB,Air Guinee
