id, iata, icao, name, country_id
1,NULL,UKBD,Южный,1
2,Gogolev,Gogolev,Gogolev Aero,1
3,UPBS,UPS,Запорожье,1
4,IEV.,NULL,ZHULYANY,1
5,VESELOYE,NULL,VESELOYE,1
6,ZZZ,ZZZZ,Technical Flight,1
7,NULL,XKWW,VINNITSA,1
8,NULL,XKBB,BORISPOL,1
9,NULL,UKOW,WOZNESENSK,1
10,NULL,XKOW,WOZNESENSK,1
11,NULL,UKKW,WASILXKOW,1
12,WKW,UKKW,WASILXKOW,1
13,VIN,UKWW,VINNITSA,1
14,NULL,UKKH,UZIN/MIL,1
15,NULL,UKKH,UZIN/MIL,1
16,NULL,XKKU,UZIN,1
17,UDJ,UKLU,UZHGOROD,1
18,NULL,UUUU,UROCHIQE,1
19,NULL,UKKX,UMANX/MIL,1
20,UMX,UKKX,UMAN,1
21,NULL,XKLT,CHORTKOV,1
22,NULL,XKHR,KOROTICH,1
23,NULL,UKBF,KONOTOP,1
24,NULL,XKRF,KONOTOP,1
25,NULL,UKLO,KOLOMYJA,1
26,NULL,UKFJ,KIROWSKOE,1
27,NULL,UKFD,KIROVSKOE/MIL,1
28,NULL,UKBT,KANATOVO,1
29,KGO,UKKG,KIROVOGRAD,1
30,HMJ,UKLH,KHMELNITSKY,1
31,HRK,UKHH,KHARKOV,1
32,SOK,UKHD,SOKOLXNIKI,1
33,KHC,UKFK,KERCH,1
34,NULL,UKOK,KAHOWKA,1
35,NULL,UKLK,KAMENETS-PODOLSKIJ,1
36,IZL,UKOI,IZMAIL,1
37,NULL,UKFG,GWARDEJSKOE,1
38,NULL,GUTA,GUTA,1
39,NULL,UKOG,GENICHESK,1
40,NULL,UKFE,EVPATORIJA,1
41,DOK,UKCC,DONETSK,1
42,DNK,UKDD,DNEPROPETROVSK,1
43,NULL,UKHW,CHUGUEW,1
44,NULL,XXXX,CHORNOBYLX,1
45,NULL,UKLE,CHERTKOW,1
46,CWC,UKLN,CHERNOVTSY,1
47,CEJ,UKRR,CHERNIGOV,1
48,CKC,UKKE,CHERKASSY,1
49,NULL,UKRA,CHAJKA,1
50,NULL,UKKJ,CHAJKA,1
51,NULL,UKOB,BUYALYK,1
52,NULL,UKKB,BORODJANKA,1
53,NULL,UKBR,BERDICHEV,1
54,NULL,UKBC,BELAJA CERKOV,1
55,NULL,UKFR,BAGEROWO,1
56,NULL,UKKL,BELAYA TSERKOW,1
57,NULL,UKOA,ARCYZ,1
58,NULL,UKOR,NIKOLAEV(KULXBAKINO),1
59,SIP,UKFF,SIMFEROPOL,1
60,NULL,XKFY,DJANKOJ,1
61,NULL,XKFL,BELBEK,1
62,NULL,UKFY,SIMFEROPOLX,1
63,NULL,XKFK,KACHA,1
64,UKS,UKFB,BELBEK,1
65,KHE,UKOH,KHERSON,1
66,ERD,UKDB,BERDJANSK,1
67,NULL,UKDK,DOLGINCEWO,1
68,NULL,XKDK,KRIVOI ROG MIL.,1
69,KWG,UKDR,KRIVOI ROG,1
70,TNL,UKLT,TERNOPOL,1
71,UMY,UKHS,SUMY,1
72,NULL,UKFD,SUDAK,1
73,NULL,UKLP,STRYJ,1
74,NULL,XKLS,ST.KONSTANTINOW,1
75,NULL,XKLS,STAROKONSTANTINOV,1
76,SLW,NULL,SLAVUTICH,1
77,SEV,UKCS,SEVERO-DONETSK,1
78,NULL,UKFI,SAKI,1
79,NULL,XKFI,SAKI,1
80,RWN,UKLR,ROVNO,1
81,NULL,XKRP,PRILUKI,1
82,NULL,UKHL,POLTAWA/WWS/,1
83,NULL,XKHP,POLTAVA MIL.,1
84,PLV,UKHP,POLTAVA,1
85,NULL,PES4,PESCHANOE,1
86,NULL,UKKO,OZERNOE,1
87,NULL,UKOG,SHKOLNYJ,1
88,NULL,UKOM,LIMANSKOE/MIL,1
89,ODS,UKOO,TSENTRALNY,1
90,NULL,UKKN,NOVOMIRGOROD/MIL,1
91,NULL,XKOJ,KULXBAKINO,1
92,NLV,UKON,NIKOLAEV,1
93,NULL,UKRN,NEZHYN,1
94,NULL,UKBM,MIRGOROD/MIL,1
95,NULL,UKBM,MIRGOROD,1
96,NULL,XKDM,MELITOPOLX,1
97,OOX,UKDM,MELITOPOL,1
98,MPW,UKCM,MARIUPOL,1
99,NULL,UKLS,ST.KONSTANTINOW,1
100,LWO,UKLL,LVOV,1
101,UCK,UKLC,LUTSK,1
102,LUC,UKLC,LUTSK,1
103,VSG,UKCW,LUGANSK,1
104,IEV,UKKK,ZHULYANY,1
105,GML,UKKM,GOSTOMEL,1
106,NNN,UKKT,SVJATOSHYNO,1
107,KBP,UKBB,BORISPOL,1
108,NULL,UPWA,N.PETROVTSY,1
109,KHU,UKHK,KREMENCHUG,1
110,KRQ,UKCK,KRAMATORSK,1
111,NULL,XKCK,KRAMATORSK,1
112,IFO,UKLI,IVANO-FRANKOVSK,1
113,ZTR,UKKV,ZHYTOMIR,1
114,OZH,UKDE,ZAPOROZJE,1
115,NULL,XKON,NIKOLAEW,1
116,CCN,NULL,CHAKCHARAN55,1
