id,schedule_id,link_id,flight_date,airline_id,flight_number,arr_dep_code,flight_type_code,registration_number,aircraft_id,int_dom_code,total_passengers_count,total_c_passengers_count,total_y_passengers_count,bag_weight,cargo_weight,seats,parking,terminal,ori_dest_airport_id,station_airport_id,mail_weight
120180501966,1,120180501967,2018-05-01 02:15:00.000000,3970,966,A,J,URPSA,18,I,140,40,100,4200,3200,145,1,D,2335,107,340
120180501967,1,120180501966,2018-05-01 03:15:00.000000,3970,967,D,J,URPSA,18,I,140,40,100,4200,3200,145,NULL,D,2335,107,340
2201805011652,1,2201805011653,2018-05-01 00:40:00.000000,115,1652,A,J,URPSA,18,I,140,40,100,4200,3200,145,NULL,D,467,107,340
2201805011653,1,2201805011652,2018-05-01 06:10:00.000000,115,1653,D,J,URPSA,18,I,140,40,100,4200,3200,145,NULL,D,467,107,340
2201805011752,1,2201805011753,2018-05-01 13:55:00.000000,115,1752,A,J,URPSA,18,I,140,40,100,4200,3200,145,1,D,467,107,340
2201805011753,1,2201805011752,2018-05-01 14:45:00.000000,115,1753,D,J,URPSA,18,I,140,40,100,4200,3200,145,1,D,467,107,340
320180501882,1,320180501883,2018-05-01 13:35:00.000000,705,882,A,J,URPSA,18,I,140,40,100,4200,3200,145,1,D,1952,107,340
320180501883,1,320180501882,2018-05-01 14:25:00.000000,705,883,D,J,URPSA,18,I,140,40,100,4200,3200,145,1,D,1952,107,340
420180501400,1,420180501401,2018-05-01 09:10:00.000000,46,400,A,J,URPSA,202,I,140,40,100,4200,3200,145,1,D,420,107,340
420180501401,1,420180501400,2018-05-01 09:40:00.000000,46,401,D,J,URPSA,202,I,140,40,100,4200,3200,145,1,D,420,107,340
420180501402,1,420180501403,2018-05-01 14:40:00.000000,46,402,A,J,URPSA,202,I,140,40,100,4200,3200,145,1,D,420,107,340
420180501403,1,420180501402,2018-05-01 15:10:00.000000,46,403,D,J,URPSA,202,I,140,40,100,4200,3200,145,1,D,420,107,340
420180501404,1,420180501405,2018-05-01 20:05:00.000000,46,404,A,J,URPSA,202,I,140,40,100,4200,3200,145,1,D,420,107,340
420180501405,1,420180501404,2018-05-01 20:35:00.000000,46,405,D,J,URPSA,202,I,140,40,100,4200,3200,145,1,D,420,107,340
520180501295,1,520180501296,2018-05-01 14:40:00.000000,1681,295,A,J,URPSA,52,I,140,40,100,4200,3200,145,1,D,2664,107,340
520180501296,1,520180501295,2018-05-01 16:00:00.000000,1681,296,D,J,URPSA,52,I,140,40,100,4200,3200,145,1,D,2664,107,340
620180501401,1,620180501402,2018-05-01 21:05:00.000000,3651,401,A,J,URPSA,18,I,140,40,100,4200,3200,145,1,D,2586,107,340
620180501402,1,620180501401,2018-05-01 22:05:00.000000,3651,402,D,J,URPSA,18,I,140,40,100,4200,3200,145,1,D,2586,107,340
7201805011385,1,7201805011386,2018-05-01 13:15:00.000000,1770,1385,A,J,URPSA,NULL,I,140,40,100,4200,3200,145,1,D,2808,107,340
7201805011386,1,7201805011385,2018-05-01 14:00:00.000000,1770,1386,D,J,URPSA,NULL,I,140,40,100,4200,3200,145,1,D,2808,107,340
8201805012651,1,8201805012652,2018-05-01 11:00:00.000000,1167,2651,A,J,URPSA,52,I,140,40,100,4200,3200,145,1,D,580,107,340
8201805012652,1,8201805012651,2018-05-01 12:10:00.000000,1167,2652,D,J,URPSA,52,I,140,40,100,4200,3200,145,2,D,580,107,340
8201805012653,1,8201805012654,2018-05-01 21:45:00.000000,1167,2653,A,J,URPSA,52,I,140,40,100,4200,3200,145,2,D,580,107,340
8201805012654,1,8201805012653,2018-05-01 22:55:00.000000,1167,2654,D,J,URPSA,52,I,140,40,100,4200,3200,145,2,D,580,107,340
920180501457,1,920180501458,2018-05-01 09:25:00.000000,3106,457,A,J,URPSA,20,I,140,40,100,4200,3200,145,2,D,1412,107,340
920180501458,1,920180501457,2018-05-01 10:55:00.000000,3106,458,D,J,URPSA,20,I,140,40,100,4200,3200,145,2,D,1412,107,340
920180501459,1,920180501460,2018-05-01 19:50:00.000000,3106,459,A,J,URPSA,20,I,140,40,100,4200,3200,145,2,D,1412,107,340
920180501460,1,920180501459,2018-05-01 21:20:00.000000,3106,460,D,J,URPSA,20,I,140,40,100,4200,3200,145,2,D,1412,107,340
10201805017617,1,NULL,2018-05-01 00:40:00.000000,3761,7617,D,C,URPSA,19,I,140,40,100,4200,3200,145,2,D,1404,107,340
10201805017015,1,NULL,2018-05-01 03:10:00.000000,3761,7015,D,C,URPSA,19,I,140,40,100,4200,3200,145,2,D,1404,107,340
10201805017051,1,NULL,2018-05-01 03:55:00.000000,3761,7051,D,C,URPSA,19,I,140,40,100,4200,3200,145,2,D,2312,107,340
10201805017953,1,NULL,2018-05-01 04:40:00.000000,3761,7953,D,C,URPSB,18,I,140,40,100,4200,3200,145,2,D,2312,107,340
10201805017618,1,NULL,2018-05-01 06:55:00.000000,3761,7618,A,C,URPSB,19,I,140,40,100,4200,3200,145,2,D,1404,107,340
10201805017615,1,NULL,2018-05-01 07:55:00.000000,3761,7615,D,C,URPSB,19,I,140,40,100,4200,3200,145,2,D,1404,107,340
1020180501755,1,NULL,2018-05-01 09:05:00.000000,3761,755,D,J,URPSB,225,I,140,40,100,4200,3200,145,2,D,3062,107,340
10201805017016,1,NULL,2018-05-01 09:25:00.000000,3761,7016,A,C,URPSB,19,I,140,40,100,4200,3200,145,2,D,1404,107,340
1020180501101,1,NULL,2018-05-01 09:40:00.000000,3761,101,D,J,URPSB,225,I,140,40,100,4200,3200,145,2,D,42,107,340
1020180501106,1,NULL,2018-05-01 10:10:00.000000,3761,106,A,J,URPSB,225,I,140,40,100,4200,3200,145,2,D,42,107,340
10201805017011,1,NULL,2018-05-01 12:50:00.000000,3761,7011,D,C,URPSB,19,I,140,40,100,4200,3200,145,2,D,1404,107,340
1020180501756,1,NULL,2018-05-01 14:00:00.000000,3761,756,A,J,URPSB,225,I,140,40,100,4200,3200,145,2,D,3062,107,340
10201805017616,1,NULL,2018-05-01 14:10:00.000000,3761,7616,A,C,URPSB,19,I,140,40,100,4200,3200,145,2,D,1404,107,340
10201805017653,1,NULL,2018-05-01 15:10:00.000000,3761,7653,D,C,URPSB,19,I,140,40,100,4200,3200,145,2,D,2312,107,340
1020180501105,1,NULL,2018-05-01 18:00:00.000000,3761,105,D,J,URPSB,225,I,140,40,100,4200,3200,145,2,D,42,107,340
10201805017012,1,NULL,2018-05-01 19:05:00.000000,3761,7012,A,C,URPSB,19,I,140,40,100,4200,3200,145,2,D,1404,107,340
1020180501104,1,NULL,2018-05-01 19:10:00.000000,3761,104,A,J,URPSB,225,I,140,40,100,4200,3200,145,2,D,42,107,340
11201805015201,1,NULL,2018-05-01 03:40:00.000000,285,5201,D,C,URPSB,53,I,140,40,100,4200,3200,145,2,D,2312,107,340
11201805015333,1,NULL,2018-05-01 04:00:00.000000,285,5333,D,C,URPSB,53,I,140,40,100,4200,3200,145,2,D,1404,107,340
1120180501114,1,NULL,2018-05-01 04:20:00.000000,285,114,A,J,URPSB,52,I,140,40,100,4200,3200,145,2,D,1951,107,340
11201805015611,1,NULL,2018-05-01 06:00:00.000000,285,5611,D,C,URPSB,52,I,140,40,100,4200,3200,145,2,D,1404,107,340
1120180501602,1,NULL,2018-05-01 07:10:00.000000,285,602,A,J,URPSB,52,I,140,40,100,4200,3200,145,2,D,2300,107,340
1120180501100,1,NULL,2018-05-01 07:15:00.000000,285,100,A,J,URPSB,225,I,140,40,100,4200,3200,145,2,D,13,107,340
1120180501762,1,NULL,2018-05-01 07:15:00.000000,285,762,A,J,URPSB,52,I,140,40,100,4200,3200,145,2,D,260,107,340
1120180501518,1,NULL,2018-05-01 07:25:00.000000,285,518,A,J,URPSB,52,I,140,40,100,4200,3200,145,2,D,1758,107,340
1120180501188,1,NULL,2018-05-01 07:35:00.000000,285,188,A,J,URPSB,50,I,140,40,100,4200,3200,145,2,D,420,107,340
112018050186,1,NULL,2018-05-01 07:40:00.000000,285,86,A,J,URPSB,225,D,140,40,100,4200,3200,145,NULL,D,114,107,340
